Review_Text,Improvement_Suggestion
I deleted it from the phone but I could not find a better app than this so I downloaded it only,Improve app search functionality
Who will pay for this app just for personal nutrition. Ask chatgpt they are suggesting the verity of options. There guys does not having anything.,Enhance app value proposition
I hope,No specific improvement suggestion
"I can't see images after the video you put on the 3-4th slide, it doesn't just move, I can't understand how things will look, especially something that needs to be worn. It's very disturbing; this feature is really pissing me off, I had to return things because those don't fit well, because I couldn't see the preview. Please work on it. Also, packaging has improved for Flipkart over time, but would love to see further progress, instead of plastic tapes/packets, use something else.","Improve the product preview feature to ensure that users can see images clearly, especially for items that need to be worn. Enhance the user experience by making sure the images are visible. Continue working on sustainable packaging alternatives to reduce the use of plastic tapes/packets for a more eco-friendly approach."
"Even if we connect it to a wifi of high speed it takes forever to load and show the result. It is really very frustrating to wait for it to load every time we change the screen. I request you to kindly look into this matter and fix this issue and if it is fixed it is an excellent app. However, this issue makes it the worst until it is fixed.","Address the slow loading issue, especially when connected to high-speed Wi-Fi, to provide a smoother and faster user experience. Improve the app's responsiveness to eliminate frustrating waiting times. Once resolved, it has the potential to become an excellent app."
"Questionable UX choices. I know you have new features on left/right swipe, don't shove them in my face when I'm looking for something on my current tab. Instead show me that I can swipe, but without cutting any content on my main focus page. Plus, once I've seen the hint, do not show it to me ever again, it's super irritating and makes me want to go to Amazon's dated but less irritating UI.","Refine the user experience by introducing hints about new features like left/right swipe in a non-intrusive manner. Avoid disrupting the user's current task. Once the hint is seen, do not repeatedly display it to prevent user irritation and provide a more seamless experience."
"Flipkart is my primary shopping app. The customer support, delivery experience, and quality of products, everything has been good for so long. But since a few days, there has been a compromise in the quality of the products. Also, some of the products now have 3 days return period which is quite inconvenient. Also, there has been a frequent mix-up of the products. I have received different products from what I ordered THRICE this year. It's a good platform but these things need to be improved.","Maintain the quality standards that made Flipkart your primary shopping app, and address the compromise in product quality. Reconsider the 3 days return period and make it more convenient for users. Take measures to reduce product mix-ups and ensure customers receive what they ordered for a more consistent and reliable shopping experience."
"The most fraudulent service I have ever seen. If the item is paid as Cash on Delivery that time it may reach. But if paid earlier, then getting that item is not possible. I had the worst experience on that. I ordered an item, shared 3 contact no.'s. But without contacting any of those 3, the item showed as delivered. 4 times I raised complaints, but all were fruitless. Within 1 or 2 days, the issue will show as resolved without contacting. My opinion, either quit this rubbish app else only COD.","Address the issues related to non-delivery of items paid for in advance. Improve the communication and tracking systems to ensure a more reliable delivery experience. Investigate and resolve the concerns raised by customers who have experienced delivery issues, and maintain trust in the app. Consider reinstating the Cash on Delivery (COD) option if it provides a more secure delivery process for users."
"Every time it says it can't ship to my pin code almost all the time. It is so annoying! And I have placed an order for a mobile, and the delivery date kept on delaying and got canceled the second time. During the Big Billion Days sale, the same thing is repeating; the delivery date has been changed twice, and the second time it doesn't even give any update. Disgusting app, I just want to uninstall it after I receive my products or just cancel all the orders!!!!","Improve the service availability to more pin codes to prevent the annoyance of customers who face shipping limitations. Enhance the reliability of delivery timeframes and provide more consistent updates, especially during high-demand sale events. Ensure that users can enjoy a seamless shopping experience without interruptions like delayed deliveries or last-minute cancellations."
Reducing one star as over the past few there seems to be a bug in the product page and hasn't been resolved yet. I can't scroll the product images after the 3rd image even if there are 9 or 10 images and videos. I tried magnifying the product and then scrolling still no use. Hope you guys fix it. Love the new features but if the base functionalities don't work then that's an issue.,Address the bug in the product page that prevents users from scrolling through all product images. Ensure that the basic functionalities work seamlessly as they are crucial to user experience. Continuously work on improving the app's features to maintain a high level of user satisfaction.
"The Flipkart app's delivery service left me incredibly disappointed. My order was delayed without any clear communication, and when it arrived, the packaging was in terrible condition, leading to a damaged product. Trying to resolve the issue was even worse – their customer support was unhelpful and seemed indifferent to my concerns. Dealing with them was a frustrating experience, and I won't be using their app again.",Improve the delivery service by providing clear communication and timely deliveries to prevent customer disappointment. Focus on enhancing packaging to ensure products arrive undamaged. Train the customer support team to be more helpful and attentive to customer concerns. Enhance the overall experience to retain and attract more users.
"Edit: Recently they've added Rs 10 for orders that are available in great offers claiming as 'one-time sale fee.' It's almost the same amount which we are using super coins to reduce the final amount. This seems unnecessary and is there for almost all items I've ordered recently. Disappointed. Old review: I've ordered almost 10 items from Flipkart at a stretch, and I'm Happy with my shopping with Flipkart. .delivery done as promised! and easy returns or replacements and value for money!",Reconsider the additional fee for orders and ensure it aligns with the users' expectations. Be transparent about such charges. Focus on providing value for money and delivering on promises to maintain a high level of customer satisfaction. Continue offering easy returns and replacements as part of a positive shopping experience.
"I never thought I would give 1 rating for this app because it is the only online shopping I was using, and I'm a plus member, but from the last one week, all the products are showing as non-deliverable for my location, and I'm really not sure what's the issue. If it is one or two products, I can understand that it's a seller not delivering, but all the products are showing non-deliverable. I think I'm gonna completely uninstall this app because there is no use of keeping it when they can't deliver things.",Investigate and resolve the issue of products showing as non-deliverable for specific locations to prevent the inconvenience for users. Ensure that delivery options are available to maintain the app's usefulness for customers and retain their loyalty.
"I have been buying books from this app since years. Recently I ordered a book worth 1832 INR on this app. Not only did they take a hell lot of time to deliver (more than 10 days) but also they gave me some cheap small book instead of the one I ordered. When I filed a return and refund, they say that they take 3 working days just for someone to pick up the wrong product delivered to me. To add to that, I must fall within their rigid return policy. They wouldn't paid me for the lost time even.","Enhance the book delivery service by reducing delivery times and ensuring accurate orders. Speed up the return and refund process to prevent customer inconvenience. Consider being more flexible with the return policy, and provide compensation for the time and inconvenience caused by errors on the app."
"Placed an order on 1 October, and I was supposed to get my item on 11th. On the day of delivery, the app decided to cancel my order by itself. When I tried to call the delivery agent, someone else picked up. Flipkart didn't even provide you with the right phone number of the delivery agent. The experience was so bad, you are better off walking to the store and buying it from there.",Prevent the automatic cancellation of orders and ensure that users receive their items as scheduled. Provide accurate and reliable contact information for delivery agents to improve the customer experience. Focus on consistency and reliability to keep users engaged with the app.
"Fraudulent marketing. They hide one or two digits from the real price while showing in the app, after adding to cart, the price will be at least 10 times of what you expected. Be very careful before you pay. Refund process is not reliable. If they give you a gift card, the card is not usable. You can just see a card in the app. You cannot use it.",Ensure transparent pricing and accurate representation of product prices to build trust with users. Address any discrepancies between displayed and final prices. Improve the reliability of the refund process to minimize inconveniences for customers. Make gift cards usable to enhance user satisfaction and trust.
"The app is having a lot of issues these past few months. I have been using Flipkart for years but the amount of issues that I faced in these months are more than that of the past years. Also for every product it shows not deliverable, and some products are not delivered on the promised time. This issue is from the past 2-3 months.",Identify and resolve the various issues plaguing the app to ensure a smoother user experience. Address the problem of products showing as non-deliverable and ensure that products are delivered within the promised timeframes. Maintain the reliability and consistency that users have come to expect from the app.
"I'm extremely disappointed with the delivery service from Flipkart. My order was scheduled for delivery twice, but both times it was not delivered. The lack of effective communication and support from their customer service only added to my frustration. It's essential for a company to provide reliable delivery and responsive customer service, and Flipkart has fallen short in both aspects. I hope they take immediate steps to rectify these issues. Wish I could give less than 1 star",Prioritize improvements in the delivery service to ensure timely and reliable deliveries. Strengthen communication channels to provide users with updates and address issues effectively. Train customer service representatives to be more responsive and helpful. Focus on delivering an overall better customer experience and work towards regaining the trust of users.
"All features are good except the chat feature to deal with any orders. When by mistake if I click on 'cancel my order,' without even the double confirmation, the chatbot directly cancels my order!! Very bad Flipkart... I have lost 2k discount offer because of this mistaken cancellation. I immediately called the customer care number as well; they mentioned that the refund is already processed within just 2 minutes... Please ask for double confirmation before the cancellation of any order 🙏",Enhance the user experience related to order cancellation by adding double confirmation to prevent accidental cancellations. This would avoid situations where customers lose out on discount offers. Ensure a smoother interaction with the chatbot for order-related tasks to improve the user experience.
"The app is having too many issues lately. Products are shown as non-deliverable even if they are usually delivered to my location. The app frequently crashes, and I have trouble finding and ordering products. Flipkart needs to work on their app's stability and usability to keep customers loyal.",Address the issues with products showing as non-deliverable when they can typically be delivered to a location. Focus on improving the app's stability and performance to prevent crashes and make it easier for users to find and order products. Maintain customer loyalty by providing a seamless shopping experience.
